account,symbol,position_id,magic,lane_name,entry_time_utc,exit_time_utc,entry_time_dubai,exit_time_dubai,entry_minute_utc,session_dubai,direction,volume,entry_price,exit_price,net_pnl_aed,outcome,entry_comment,exit_comment
1033669,XAUUSD,4100993,933200,A3_BREAKOUT_PLAIN,2026-06-16 11:23:38,2026-06-16 11:29:02,2026-06-16 15:23:38,2026-06-16 15:29:02,2026-06-16 11:23,Afternoon 12:00-15:59,SELL,0.01,4339.80000,4343.28000,-12.79,LOSS,A3_BREAKOUT_PLAIN,[sl 4343.18]
1033669,XAUUSD,4101166,933200,A3_BREAKOUT_PLAIN,2026-06-16 11:40:01,2026-06-16 12:08:36,2026-06-16 15:40:01,2026-06-16 16:08:36,2026-06-16 11:40,Afternoon 12:00-15:59,SELL,0.01,4337.98000,4342.74000,-17.49,LOSS,A3_BREAKOUT_PLAIN,[sl 4342.69]
1033669,XAUUSD,4108728,933200,A3_BREAKOUT_PLAIN,2026-06-16 17:30:00,2026-06-17 00:00:51,2026-06-16 21:30:00,2026-06-17 04:00:51,2026-06-16 17:30,Night 20:00-05:59,BUY,0.01,4335.54000,4328.29000,-29.18,LOSS,A3_BREAKOUT_PLAIN,[sl 4328.64]
1033669,XAUUSD,4115586,933200,A3_BREAKOUT_PLAIN,2026-06-17 05:50:00,2026-06-17 05:55:38,2026-06-17 09:50:00,2026-06-17 09:55:38,2026-06-17 05:50,Morning 06:00-11:59,BUY,0.01,4331.84000,4328.46000,-12.42,LOSS,A3_BREAKOUT_PLAIN,[sl 4328.47]
1033669,XAUUSD,4116658,933200,A3_BREAKOUT_PLAIN,2026-06-17 06:55:01,2026-06-17 07:19:38,2026-06-17 10:55:01,2026-06-17 11:19:38,2026-06-17 06:55,Morning 06:00-11:59,BUY,0.01,4329.82000,4326.35000,-12.75,LOSS,A3_BREAKOUT_PLAIN,[sl 4326.37]
1033669,XAUUSD,4116895,933200,A3_BREAKOUT_PLAIN,2026-06-17 07:30:01,2026-06-17 07:34:56,2026-06-17 11:30:01,2026-06-17 11:34:56,2026-06-17 07:30,Morning 06:00-11:59,BUY,0.01,4328.68000,4325.48000,-11.76,LOSS,A3_BREAKOUT_PLAIN,[sl 4325.50]
1033669,XAUUSD,4119841,933200,A3_BREAKOUT_PLAIN,2026-06-17 11:00:00,2026-06-17 11:30:29,2026-06-17 15:00:00,2026-06-17 15:30:29,2026-06-17 11:00,Afternoon 12:00-15:59,BUY,0.01,4332.03000,4327.55000,-16.46,LOSS,A3_BREAKOUT_PLAIN,[sl 4327.65]
1033669,XAUUSD,4125119,933200,A3_BREAKOUT_PLAIN,2026-06-17 14:55:00,2026-06-17 18:04:28,2026-06-17 18:55:00,2026-06-17 22:04:28,2026-06-17 14:55,Evening 16:00-19:59,BUY,0.01,4347.50000,4322.29000,-92.64,LOSS,A3_BREAKOUT_PLAIN,[sl 4322.36]
1033669,XAUUSD,4125123,933400,A3_BREAKOUT_TIER1_COMPAT,2026-06-17 14:55:01,2026-06-17 18:04:28,2026-06-17 18:55:01,2026-06-17 22:04:28,2026-06-17 14:55,Evening 16:00-19:59,BUY,0.01,4347.59000,4322.47000,-92.31,LOSS,A3_BREAKOUT_TIER1_COMPAT,[sl 4322.48]
1033669,XAUUSD,4126524,933300,A3_BREAKOUT_IMPROVED,2026-06-17 16:25:01,2026-06-17 16:38:02,2026-06-17 20:25:01,2026-06-17 20:38:02,2026-06-17 16:25,Night 20:00-05:59,BUY,0.01,4365.45000,4360.26000,-19.07,LOSS,A3_BREAKOUT_IMPROVED,[sl 4360.27]
1033669,XAUUSD,4127401,933300,A3_BREAKOUT_IMPROVED,2026-06-17 17:35:01,2026-06-17 17:35:16,2026-06-17 21:35:01,2026-06-17 21:35:16,2026-06-17 17:35,Night 20:00-05:59,BUY,0.01,4378.79000,4374.25000,-16.68,LOSS,A3_BREAKOUT_IMPROVED,[sl 4374.42]
1033669,XAUUSD,4129813,933200,A3_BREAKOUT_PLAIN,2026-06-17 18:25:00,2026-06-17 18:43:55,2026-06-17 22:25:00,2026-06-17 22:43:55,2026-06-17 18:25,Night 20:00-05:59,SELL,0.01,4292.27000,4319.93000,-101.63,LOSS,A3_BREAKOUT_PLAIN,[sl 4319.63]
1033669,XAUUSD,4132280,933200,A3_BREAKOUT_PLAIN,2026-06-17 19:05:00,2026-06-18 00:31:47,2026-06-17 23:05:00,2026-06-18 04:31:47,2026-06-17 19:05,Night 20:00-05:59,SELL,0.01,4271.78000,4307.24000,-129.07,LOSS,A3_BREAKOUT_PLAIN,[sl 4306.99]
1033669,XAUUSD,4136095,933300,A3_BREAKOUT_IMPROVED,2026-06-17 20:30:00,2026-06-17 22:20:43,2026-06-18 00:30:00,2026-06-18 02:20:43,2026-06-17 20:30,Night 20:00-05:59,SELL,0.01,4258.32000,4271.04000,-45.52,LOSS,A3_BREAKOUT_IMPROVED,[sl 4270.92]
1033669,XAUUSD,4139966,933200,A3_BREAKOUT_PLAIN,2026-06-18 03:15:00,2026-06-18 03:21:36,2026-06-18 07:15:00,2026-06-18 07:21:36,2026-06-18 03:15,Morning 06:00-11:59,SELL,0.01,4311.74000,4316.96000,-19.18,LOSS,A3_BREAKOUT_PLAIN,[sl 4316.95]
